redis-1  | 1:C 16 Jun 2026 18:44:43.449 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
redis-1  | 1:C 16 Jun 2026 18:44:43.449 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
redis-1  | 1:C 16 Jun 2026 18:44:43.449 * Redis version=7.4.9, bits=64, commit=00000000, modified=0, pid=1, just started
redis-1  | 1:C 16 Jun 2026 18:44:43.449 * Configuration loaded
redis-1  | 1:M 16 Jun 2026 18:44:43.453 * Increased maximum number of open files to 10032 (it was originally set to 1024).
redis-1  | 1:M 16 Jun 2026 18:44:43.453 * monotonic clock: POSIX clock_gettime
redis-1  | 1:M 16 Jun 2026 18:44:43.457 * Running mode=standalone, port=6379.
redis-1  | 1:M 16 Jun 2026 18:44:43.460 * Server initialized
redis-1  | 1:M 16 Jun 2026 18:44:43.465 * Creating AOF base file appendonly.aof.1.base.rdb on server start
redis-1  | 1:M 16 Jun 2026 18:44:43.468 * Creating AOF incr file appendonly.aof.1.incr.aof on server start
redis-1  | 1:M 16 Jun 2026 18:44:43.468 * Ready to accept connections tcp
