LAST SEEN   TYPE     REASON                    OBJECT                                   MESSAGE
3m44s       Normal   Starting                  node/minikube                            Starting kubelet.
3m44s       Normal   NodeAllocatableEnforced   node/minikube                            Updated Node Allocatable limit across pods
3m44s       Normal   NodeHasSufficientMemory   node/minikube                            Node minikube status is now: NodeHasSufficientMemory
3m44s       Normal   NodeHasNoDiskPressure     node/minikube                            Node minikube status is now: NodeHasNoDiskPressure
3m44s       Normal   NodeHasSufficientPID      node/minikube                            Node minikube status is now: NodeHasSufficientPID
3m43s       Normal   NodeReady                 node/minikube                            Node minikube status is now: NodeReady
3m40s       Normal   RegisteredNode            node/minikube                            Node minikube event: Registered Node minikube in Controller
3m36s       Normal   Starting                  node/minikube                            
62s         Normal   RegisteredNode            node/minikube                            Node minikube event: Registered Node minikube in Controller
62s         Normal   Scheduled                 pod/nginx-pod                            Successfully assigned default/nginx-pod to minikube
60s         Normal   Starting                  node/minikube                            
53s         Normal   Pulling                   pod/nginx-pod                            Pulling image "nginx:1.27-alpine"
50s         Normal   Started                   pod/nginx-pod                            Container started
50s         Normal   Pulled                    pod/nginx-pod                            Successfully pulled image "nginx:1.27-alpine" in 2.319s (2.319s including waiting). Image size: 48239342 bytes.
50s         Normal   Created                   pod/nginx-pod                            Container created
49s         Normal   Scheduled                 pod/multi-container-pod                  Successfully assigned default/multi-container-pod to minikube
48s         Normal   Pulling                   pod/multi-container-pod                  Pulling image "redis:7.4-alpine"
48s         Normal   Started                   pod/multi-container-pod                  Container started
48s         Normal   Created                   pod/multi-container-pod                  Container created
48s         Normal   Pulled                    pod/multi-container-pod                  Container image "nginx:1.27-alpine" already present on machine and can be accessed by the pod
46s         Normal   Created                   pod/multi-container-pod                  Container created
46s         Normal   Started                   pod/multi-container-pod                  Container started
46s         Normal   Pulled                    pod/multi-container-pod                  Successfully pulled image "redis:7.4-alpine" in 1.645s (1.645s including waiting). Image size: 39088753 bytes.
45s         Normal   Scheduled                 pod/nginx-deployment-798dd5959d-fl699    Successfully assigned default/nginx-deployment-798dd5959d-fl699 to minikube
45s         Normal   SuccessfulCreate          replicaset/nginx-deployment-798dd5959d   Created pod: nginx-deployment-798dd5959d-fl699
45s         Normal   SuccessfulCreate          replicaset/nginx-deployment-798dd5959d   Created pod: nginx-deployment-798dd5959d-8qpk4
45s         Normal   Scheduled                 pod/nginx-deployment-798dd5959d-8qpk4    Successfully assigned default/nginx-deployment-798dd5959d-8qpk4 to minikube
45s         Normal   SuccessfulCreate          replicaset/nginx-deployment-798dd5959d   Created pod: nginx-deployment-798dd5959d-5s475
45s         Normal   ScalingReplicaSet         deployment/nginx-deployment              Scaled up replica set nginx-deployment-798dd5959d from 0 to 3
45s         Normal   Scheduled                 pod/nginx-deployment-798dd5959d-5s475    Successfully assigned default/nginx-deployment-798dd5959d-5s475 to minikube
